scenario_id,scenario,tcomm,tef,tc,lm,domain_id,controls
28,Unknown attack intelligence results in undetected events.,External Attacker,Frequent,High,Low,OPS,"33, 34, 35, 36"
29,Unknown incidence of security breach ,External Attacker,Occasional,Medium,Low,OPS,"33, 34, 35, 36"
30,"Lack of monitoring demonstrates failure to take due care, resulting in non-compliance with associated laws and regulations.",External Auditor,Occasional,Low,Medium,OPS,"33, 34, 35, 36"
31,Business disruption and non-recovery of data.,Organizational IT,Occasional,Low,Medium,BC,"41, 45"
32,Changing or adding software without authorization results in system performance or data disclosure.,Organizational IT,Frequent,Low,Medium,OPS,"37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 39, 51, 33, 34, 35, 36"
33,Malfunction of business application and system software.,Computer Systems,Rare,High,Low,OPS,"37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 39, 51, 33, 34, 35, 36"
34,"Lack of ability to respond to targeted malware (Trojan horse, spyware, BOTS, worms, and viruses) results in compromise of data assets.",External Attacker,Rare,High,Medium,OPS,"37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 39, 51, 33, 34, 35, 36"
35,Breach through technical controls results in reportable significant unauthorized disclosure of data.,External Attacker,Rare,Medium,Low,OPS,"37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 39, 51, 33, 34, 35, 36"
36,"Unforeseen effect of changes to software, computer, and communications equipment.",Organizational IT,Occasional,Low,Low,OPS,"37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 39, 51, 33, 34, 35, 36"
37,"Destruction, misuse, or modification of information assets through breach of technical controls.",External Attacker,Rare,High,Medium,IM,"25, 26, 27, 28, 59"
38,Eroding network boundaries result in lack of defenses on systems.,External Attacker,Rare,High,Medium,IM,"25, 26, 27, 28, 59"
39,External attackers breach technical controls and gain unauthorized access to systems and networks.,External Attacker,Frequent,Medium,Low,IM,"25, 26, 27, 28, 59"
40,Unintended consequence of implemented information security controls on workforce or connected devices.,Organizational IT,Occasional,Medium,Medium,IM,"25, 26, 27, 28, 59"
41,Damage to or loss of information systems and network services through terror-related physical attack.,External Attacker,Rare,Medium,Medium,PHY,"52, 53, 54, 55"
42,Damage to or loss of physical facility through natural disaster.,Nature,Rare,High,High,PHY,"52, 53, 54, 55"
43,Inappropriate release of information assets through physical disclosure.,Organizational Workforce,Rare,High,Medium,PHY,"52, 53, 54, 55"
44,Theft or loss of physical assets.,External Attacker,Occasional,Low,Medium,PHY,"52, 53, 54, 55"
45,Loss of information assets due to misclassification and non-classification.,Organizational Workforce,Occasional,Medium,Low,ASSET,"56, 39"
46,Misclassification due to data aggregation.,Organizational Workforce,Rare,Low,Low,ASSET,"56, 39"
47,Lack of accountability for critical information and systems results in inappropriate control and inventory.,Organizational IT,Rare,Medium,Medium,ASSET,"56, 39"
48,Unauthorized access to or use of information and systems results in inappropriate use by internal users.,Organizational Internal Users,Rare,Low,Medium,AC,"57, 58"
49,"Uncontrolled aggregation, proliferation, and use of data.",Organizational Workforce,Frequent,Low,Medium,PRI,"21, 22, 23, 24"
50,Inadequate response results in inappropriate internal use of data.,Internal Attacker,Frequent,High,Medium,IM,"25, 26, 27, 28, 59"
51,Unauthorized access to or use of information and systems.,Organizational Vendors,Occasional,High,Medium,AC,"57, 58"
52,Inability to respond to litgation holds.,External Legal Authority,Rare,Low,Medium,IM,59
53,Inability to respond to HR investigations results in avoidable adverse judgements.,Organizational HR Team,Occasional,Medium,Low,IM,59
54,Key areas of the security program are not managed.,Organizational Leadership,Frequent,Medium,Medium,ISMP,"2, 4, 6"
55,Damage to or loss of information system due to natural disaster at physical facility.,Nature,Rare,High,High,BC,"41, 45"
56,Malfunction of business application and system software.,Computer Systems,Rare,High,Medium,ADM,"38, 44"
